houseirae_sword_dancer;Sword Dancer;;;;;;;;;;;;;x
houseirae_sword_dancer_desc;A Sword Dancer is someone specially blessed by Eilistraee. The way their wield their sword in battle is almost hypnotic, like a dancer.;;;;;;;;;;;;;x
moonlight_dance;Moonlight Ritual;;;;;;;;;;;;;x
moonlight_dance_sword_dancer;Sword Dancer at Moonlight Ritual;;;;;;;;;;;;;x

houseirae_eilistraee_dance_ritual;Moonlight Dance;;;;;;;;;;;;;x
houseirae_eilistraee_dance_ritual_desc;Eilistraee's most sacred ritual involves dancing in the nude under the waxing moon in a grand ceremony. The entire ritual will take two weeks, during which the dancer is expected to perform from sundown to sunrise with only a few hours of rest and prayer at midnight. Despite being a champion of equality, Eilistraee decrees that this one ritual be performed only by women. Such a grand event can only be held once every 15 years by a single character.;;;;;;;;;;;;;x
HouseIraeEilistraeeDanceTitle;Moonlight Dance;;;;;;;;;;;;;x
HouseIraeEilistraeeDanceTitle_tribute_payment; Moonlight Tribute;;;;;;;;;;;;;x
HouseIraeEilistraeeDanceTitle_tribute_no_payment; No Moonlight Tribute;;;;;;;;;;;;;x
irae_no_show_fallout;Failing to pay tribute will lessen [From.GetFirstName] in people's opinion.;;;;;;;;;;;;;x
irae_holding_moonlight_dance;Performing Moonlight Dance;;;;;;;;;;;;;x
irae_held_moonlight_dance;Held Moonlight Dance;;;;;;;;;;;;;x
irae_holding_moonlight_dance_desc;This character is currently performing the sacred Moonlight Dance ritual for Eilistraee.;;;;;;;;;;;;;x
irae_held_moonlight_dance_desc;This character has recently held a sacred Moonlight Dance ritual for Eilistraee. Another one cannot be performed for another 15 years after the previous.;;;;;;;;;;;;;x

HouseIraeEilistraeeDance1;\n \n  I can feel the new noon is waning and the full foon is returning. Many of the young yathrin are eager to strip bare and attend their first Moonlight Dance to honor the Dark Maiden. I notify my court and vassals of the ritual, and of their expected participation.\n  While I do encourage attendance, I do recognize that some may have conflicts that prevent their attendance. These individuals though are expected to then pay tribute.;;;;;;;;;;;;;x
HouseIraeEilistraeeDance1TT;May Eilistraee bless us as we honor her.;;;;;;;;;;;;;x

HouseIraeEilistraeeDance2;I have been summoned to take part in the sacred Moonlight Dance to Eilistraee.;;;;;;;;;;;;;x
HouseIraeEilistraeeDance2TT;I shall attend the ritual!;;;;;;;;;;;;;x

HouseIraeEilistraeeDance3;I have been summoned to take part in the sacred Moonlight Dance to Eilistraee. I will not go for variety of reasons. As is custom, I am expected to pay a small tribute for not attending.;;;;;;;;;;;;;x
HouseIraeEilistraeeDance3TTPay;Please accept my tribute and excuse my absence.;;;;;;;;;;;;;x
HouseIraeEilistraeeDance3TTNoPay;Fuck [From.GetFirstName], I'm not paying!;;;;;;;;;;;;;x

HouseIraeEilistraeeDance4;\n \n  [From.GetBestName] has declined to attend, yet has provided suitable tribute to atone for their absence. It's a shame that they're not attending, yet the celebration shall continue on without them.;;;;;;;;;;;;;x
HouseIraeEilistraeeDance4TT;[From.GetFirstName]'s tribute is acceptable.;;;;;;;;;;;;;x

HouseIraeEilistraeeDance5;\n \n  [From.GetBestName] has declined to attend, and has insulted me by refusing to pay tribute for their absence. Those who will be in attendance are aware of the slight, and they have expressed their displeasure of the individual's actions as well. \n  Disappointing, but not anything to get worked up over..;;;;;;;;;;;;;x
HouseIraeEilistraeeDance5TT;[From.GetFirstName] will not be attending the ceremony.;;;;;;;;;;;;;x

HouseIraeEilistraeeDance6Straight;\n \n  The sun has set, the bonfire lit, and the moon is high. I order the yathrin to discard their clothes, pick up a sword, and start the ritualistic dance. The more experienced women do so without question, though a few of the younger women hesitate. This is obviously their first time at a Moonlight Dance. Some are blushing furiously, their nipples hardening. Others still are trying to protect their modesty with their hands and swords. I remind those who hesitate that this is merely a ceremony to honor Eilistraee, not an orgy and not a time to gawk.\n  Hours pass, and the new-comers are now getting much more used to the nudity and the flailing bodies, though their dancing form is still unrefined. This continues for several days, with everyone taking a break every midnight for an hour to retreat back to the nearby dormitory for a nap, prayer, or... comfort. What they do in this hour is none of my concern. They have earned the time off, and Eilistraee smiles each time we return to the bonfire.;;;;;;;;;;;;;x
HouseIraeEilistraeeDance6Lesbian;\n \n  The sun has set, the bonfire lit, and the moon is high. I order the yathrin to discard their clothes, pick up a sword, and start the ritualistic dance. The more experienced women do so without question, though a few of the younger women hesitate. This is obviously their first time at a Moonlight Dance. Some are blushing furiously, their nipples hardening. Others still are trying to protect their modesty with their hands and swords. I remind those who hesitate that this is merely a ceremony to honor Eilistraee, not an orgy and not a time to gawk. Despite my words, I am overwhelmed by the number of beautiful women in my presence, and can feel my own body react. It gets worse when the dancing starts. The sight of swaying breasts and the smooth figures forces me to say more than one prayer to Eilistraee for guidance and help.\n  Hours pass, and the new-comers are now getting much more used to the nudity and the flailing bodies, though their dancing form is still unrefined. This continues for several days, with everyone taking a break every midnight for an hour to retreat back to the nearby dormitory for a nap, prayer, or... comfort. What we do in this hour is nobody's concern. We have earned the time off, and Eilistraee smiles each time we return to the bonfire.;;;;;;;;;;;;;x
HouseIraeEilistraeeDance6TT;Eilistraee tlu malla!;;;;;;;;;;;;;x

HouseIraeEilistraeeDance7T;The Shy Dancer;;;;;;;;;;;;;x
