houseirae_book_of_lore;Book of Lore - House Irae;;;;;;;;;;;;;x
houseirae_book_of_lore_desc;Open a book of lore, detailing the background and information of the Dark Seldarine pantheon, the dark elves themselves, and House Irae.;;;;;;;;;;;;;x
HouseIraeLoreGoBack;Go Back;;;;;;;;;;;;;x

HouseIraeLore1T;Book of Lore - Index;;;;;;;;;;;;;x
HouseIraeLore1;This book contains information about lore of the House Irae (pronounciation: uh-ray) mod.\n The author of the mod goes by lockeslylcrit on LL and Kekvit Irae on Discord.\n This mod can be found only on LL. If you found it elsewhere, please report it. Exception: lonelyneet on LL is granted permission to translate and distribute the Chinese version.\n\nTwo chapters are available... the Dark Seldarine pantheon and the dark elves themselves.\n\n\n\n\nPronounciation:\n\nIrae - Uh-ray\nLolth - Lawl-th\nEilistraee - Ill-is-stray-E\nVhaeraun - Vay-roon\nTamsine - Tam-zen\nLaela - You've got me on my knees\nKaenia - Kay-knee-uh;;;;;;;;;;;;;x
HouseIraeLore1TTA;The Dark Seldarine Pantheon;;;;;;;;;;;;;x
HouseIraeLore1TTB;The Dark Elves;;;;;;;;;;;;;x
HouseIraeLore1TTCloseBook;Close the Book of Lore;;;;;;;;;;;;;x
HouseIraeLore1TTCloseBookForever;Close the Book of Lore forever;;;;;;;;;;;;;x

HouseIraeLore2T;The Dark Seldarine;;;;;;;;;;;;;x
HouseIraeLore2;The Dark Seldarine is the collective name given to the pantheon of dark elven gods. While one does not need to be a dark elf to worship them, most Dark Seldarine gods look down on the 'lesser' races, some will view them as beneath their notice, with even fewer still willing to embrace other races.\n\n  In the House Irae mod, only three gods are present in the game mechanics... Lolth, Vhaeraun, and Eilistraee.\n  In total, there are nine gods in the pantheon, though Lolth's control of information means that very little information about any god other than herself is either wildly inaccurate or extremely hard to find.;;;;;;;;;;;;;x
HouseIraeLore2TTA;Lolth;;;;;;;;;;;;;x
HouseIraeLore2TTB;Vhaeraun;;;;;;;;;;;;;x
HouseIraeLore2TTC;Eilistraee;;;;;;;;;;;;;x

HouseIraeLore21T;Lolth, the Spider Queen;;;;;;;;;;;;;x
