houseirae_magical_seduction_title; Magical Seduction;;;;;;;;;;;;;x
HouseIraeLesYay;I will show her a true woman's touch.;;;;;;;;;;;;;x
HouseIraeHoYay;I will show him a true man's touch.;;;;;;;;;;;;;x
HouseIraeSeduction5003;My oh my. Try to seduce one of the devout. How potentially scandalous. \n  Hrm, to take the scandalous path, or to back out and consider a safer route. I wonder which I'll choose...;;;;;;;;;;;;;x
HouseIraeSeduction5003A;Oh, I'm totally seeing this through. [target_seduced.GetFirstName] will be mine.;;;;;;;;;;;;;x
HouseIraeSeduction5003B;I'll pass. [target_seduced.GetFirstName] isn't worth the potential headache.;;;;;;;;;;;;;x
HouseIraeSeduction5000;I've set my eyes on [target_seduced.GetBestName]. They may not know it yet, but I plan on sharing my desire with them. And when I do, they'll be bound to me as my lover. \n  Oh how I enjoy a little game.;;;;;;;;;;;;;x
HouseIraeSeduction5000A;[target_seduced.GetFirstName] shall be mine.;;;;;;;;;;;;;x
HouseIraeSeduction5001;I've set my eyes on [target_seduced.GetBestName] and I shall have them dancing like a puppet on my strings. Then, when the time is right, I plan on sharing my desire with them. And when I do, they'll be bound to me as my lover. \n  Oh how I enjoy a little game.;;;;;;;;;;;;;x
HouseIraeSeduction5001A;[target_seduced.GetFirstName] shall be mine.;;;;;;;;;;;;;x
HouseIraeSeduction5017;I'm a prisoner. Either actually rotting away in some other ruler's cell or wasting away in my own useless body (prisoner or incapable). I think briefly of [target_seduced.GetBestName], and all of the progress that will now have gone to waste, for I must start over with my seduction attempt should I ever obtain my freedom.;;;;;;;;;;;;;x
HouseIraeSeduction5017A;If I could only be free once more.;;;;;;;;;;;;;x
HouseIraeSeduction5014;While the game of seduction can be entertaining, sometimes things take place that make the game irrelevant. In this case, I've obtained the object of my desire. With [target_seduced.GetBestName] now mine, it is time to drop the game of seduction so I can turn my eyes towards another should I wish it.;;;;;;;;;;;;;x
HouseIraeSeduction5014A;I look forward to my time with [target_seduced.GetFirstName].;;;;;;;;;;;;;x
HouseIraeSeduction5011;I find myself recalling both my experiences with [target_seduced.GetBestName] and thinking of what will never come to pass. With the death of [target_seduced.GetFirstName] I am free from the game I was engaged in, and am now capable of directing my attentions to others should I so wish.;;;;;;;;;;;;;x
HouseIraeSeduction5011A;Too bad [target_seduced.GetFirstName] passed before I finished what I had planned.;;;;;;;;;;;;;x
HouseIraeSeduction5012;I've learned that [target_seduced.GetBestName] is no longer eligible for my continued advances. It is such a shame, as I was enjoying the game. Alas, be it physical imprisonment in some walled cell, or screaming internally as one's mind becomes a prisoner within their own failing body, neither are conducive towards the game of seduction. Alas, while [target_seduced.GetFirstName] isn't free, at least I am, so I can now consider pursuing another.;;;;;;;;;;;;;x
HouseIraeSeduction5012A;May [target_seduced.GetFirstName] be free some day.;;;;;;;;;;;;;x
HouseIraeSeduction5203;Bah. [target_seduced.GetFirstName] is playing hard to get. Apparently my letter was not well received. \n The only question left is do I push forward or let this go?;;;;;;;;;;;;;x
HouseIraeSeduction5203A;Continue the pursuit!;;;;;;;;;;;;;x
HouseIraeSeduction5203B;End this waste of time.;;;;;;;;;;;;;x
HouseIraeSeduction5202;My sources indicate that [target_seduced.GetFirstName] did indeed receive my letter. What is their intention by not giving me a response? Are they playing coy, or simply hoping I waste time pursuing them further? \n What shall I do?;;;;;;;;;;;;;x
HouseIraeSeduction5202A;Continue the pursuit!;;;;;;;;;;;;;x
HouseIraeSeduction5202B;End this waste of time.;;;;;;;;;;;;;x
