#
# Traits
#
houseirae_curse_frail;Curse of Fraility;;;;;;;;;;;;;x
houseirae_curse_frail_desc;Tamsine's family curse has manifested itself as extreme fraility.;;;;;;;;;;;;;x
houseirae_curse_chaste;Curse of Chastity;;;;;;;;;;;;;x
houseirae_curse_chaste_desc;Tamsine's family curse has manifested itself as asexuality.;;;;;;;;;;;;;x
houseirae_curse_murder;Curse of Murderous Intent;;;;;;;;;;;;;x
houseirae_curse_murder_desc;Tamsine's family curse has manifested itself as a murderous glint in their eye.;;;;;;;;;;;;;x
houseirae_curse_paranoid;Curse of Paranoia;;;;;;;;;;;;;x
houseirae_curse_paranoid_desc;Tamsine's family curse has manifested itself as extreme paranoia.;;;;;;;;;;;;;x
houseirae_curse_ambition;Curse of Ambition;;;;;;;;;;;;;x
houseirae_curse_ambition_desc;Tamsine's family curse has manifested itself as extreme ambition.;;;;;;;;;;;;;x
houseirae_curse_shapeshifted_drider;Curse of the Drider;;;;;;;;;;;;;x
houseirae_curse_shapeshifted_drider_desc;Tamsine's family curse has manifested itself by shapeshifting this poor soul into a drider.;;;;;;;;;;;;;x
houseirae_curse_shapeshifted_gender;Curse of the Body;;;;;;;;;;;;;x
houseirae_curse_shapeshifted_gender_desc;Tamsine's family curse has manifested itself by shapeshifting this poor soul's genitals into something different.;;;;;;;;;;;;;x
houseirae_curse_generic;Tamsine's Curse;;;;;;;;;;;;;x
houseirae_curse_generic_desc;This Irae has been afflicted by the family curse of Tamsine Irae.;;;;;;;;;;;;;x
houseirae_branded_irae;Irae Brand;;;;;;;;;;;;;x
houseirae_branded_irae_desc;This person has been branded with the seal of House Irae, marking them as one of the few slaves owned by the Matron who are fanatically loyal. They are allowed to venture out into the world on the Matron's orders.;;;;;;;;;;;;;x
#
# Events
#
HouseIraeTamsineCurse;The Curse of Tamsine Irae;;;;;;;;;;;;;x
HouseIraeTamsine20;\n \n  In your youth, you were a perfectly normal child. Despite being a bastard child of House Irae, you were welcomed by your other parent and raised as their own flesh and blood.\n  The day after your sixteenth birthday, however, changed everything. It started small, with just a cough or a sneeze, but suddenly you doubled over in pain, with barely enough strength to call out to a nearby maid. The court physician examined you and determined that your bones and flesh have become as weak and as feeble as an old man's.\n  Now I spend most of my time laying in bed, wondering when death will claim me.;;;;;;;;;;;;;x
HouseIraeTamsine20TT;I feel so weak...;;;;;;;;;;;;;x
HouseIraeTamsine21;\n \n  [From.GetFirstName] was a perfectly normal child. Despite being a bastard child of House Irae, you raised [From.GetHerHim] as any other child.\n  The day after [From.GetHerHis] sixteenth birthday, however, changed everything. It started small, with [From.GetFirstName] coughing and sneezing, until suddenly [From.GetSheHe] doubled over in pain with barely the strength to call out for help. The court physician examined my child and determined that [From.GetHerHis] bones and flesh were as weak and as feeble as an old man's.\n  Now [From.GetFirstName] spends most of [From.GetHerHis] time laying in bed, sometimes too weak to even move.;;;;;;;;;;;;;x
HouseIraeTamsineOhNo;Oh no...;;;;;;;;;;;;;x
